UserID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
3867,25,Male,United States of America,Nebraska,0,No,0,26-100,1,I don't know,I don't know,Maybe,1,No,Yes,Yes,Very easy,Yes,Yes,-1,-1,1,I don't know,N/A (was not aware),Some did,"Yes, they all did",I don't know,Some of my previous supervisors,Yes,Very open,No,No,Don't Know,-1,Not applicable to me,Not applicable to me,United States of America,Nebraska,-1,-1,-1,-1,No,Physical health,0,-1,1,"Mainly was a general 'maybe I should go see somebody'. They didn't really have a reaction, it was fine to bring up and discuss.",1,They talked about how they are active in the mental health world and how they suffer from mental health issues.,5,5,-1,-1,0,Physical health,0,-1,0,-1,1,-1,8,5,0,-1,-1,8,-1,Maybe/Not sure,-1,4,-1,-1,0,White
3868,51,male,United States of America,Nebraska,0,Yes,0,26-100,1,Yes,Yes,No,1,No,No,Yes,I don't know,Maybe,Maybe,-1,-1,1,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Some of my previous supervisors,No,Very open,No,Possibly,Possibly,-1,Sometimes,Often,United States of America,Nebraska,-1,-1,-1,-1,"Yes, I observed",Physical health,0,-1,1,"I prefer only to say that a recent coworker has been very supportive and understanding when I've shared info about my mental health. That hasn't always been the case with previous, different coworkers.",1,I prefer only to say that a recent coworker has been very open and forthcoming when they've shared info about their mental health.,5,7,-1,-1,0,Physical health,0,-1,1,I prefer only to say that those previous coworkers with whom I shared some of my mental health history were very supportive and understanding.,1,-1,8,5,0,-1,-1,7,"As I recall, a direct supervisor was identified as having an anxiety disorder after missing several days of work through very informal channels.","Yes, I experienced",-1,1,-1,-1,0,White
3869,27,Male,United States of America,Illinois,0,I don't know,0,26-100,1,I don't know,I don't know,No,1,No,No,I don't know,Somewhat difficult,Maybe,No,-1,-1,1,I don't know,N/A (was not aware),None did,None did,I don't know,"No, none of my previous supervisors",Maybe,Somewhat not open,No,No,No,-1,Not applicable to me,Not applicable to me,United States of America,Illinois,-1,-1,-1,-1,Maybe/Not sure,Same level of comfort for each,0,-1,1,"It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it.",1,"It doesn't truly count as a coworker, as he is one of my closest friends as well, but we discuss anxiety and depression somewhat often and are very open about it.",5,4,-1,-1,1,Physical health,0,-1,0,-1,0,-1,10,2,0,-1,-1,4,-1,"Yes, I observed",-1,2,I think opening up more conversation around these issues and increasing awareness around mental health would help ease conversations about it,Thank you,1,White
3870,37,male,United States of America,Nebraska,0,Yes,0,100-500,1,I don't know,Yes,No,1,No,Yes,Yes,Very easy,Maybe,Yes,-1,-1,1,I don't know,N/A (was not aware),Some did,Some did,"Yes, always",Some of my previous supervisors,No,Not open at all,No,No,No,-1,Not applicable to me,Not applicable to me,United States of America,Nebraska,-1,-1,-1,-1,No,Physical health,0,-1,0,-1,1,-1,1,3,-1,-1,1,Physical health,0,-1,0,-1,1,-1,3,1,0,-1,-1,8,-1,"Yes, I observed",-1,3,-1,-1,0,White
3871,46,Male,United States of America,Nebraska,0,No,0,26-100,1,I don't know,I don't know,No,1,No,I don't know,I don't know,I don't know,No,No,-1,-1,1,I don't know,N/A (was not aware),None did,None did,I don't know,"No, none of my previous supervisors",No,Not open at all,-1,No,No,-1,Not applicable to me,Not applicable to me,United States of America,Nebraska,-1,-1,-1,-1,No,Physical health,0,-1,0,-1,0,-1,4,4,-1,-1,1,Physical health,0,-1,0,-1,0,-1,4,4,0,-1,-1,5,-1,No,-1,3,-1,-1,0,White
3872,36,female,United States of America,Nebraska,0,Yes,1,100-500,1,Yes,I don't know,No,0,No,No,No,Somewhat difficult,Yes,No,-1,-1,1,"Yes, they all did","No, I only became aware later",Some did,Some did,I don't know,Some of my previous supervisors,No,Neutral,No,Yes,Yes,Yes,Sometimes,Often,United States of America,Nebraska,-1,-1,-1,-1,No,Physical health,0,-1,1,discussed my issues with anxiety and depression,1,connecting over our shared struggles with anxiety,6,5,-1,-1,1,Physical health,1,anxiety issues with a past boss. she helped me work through some holistically.,1,anxiety issues,1,same,7,6,0,-1,-1,5,-1,Maybe/Not sure,-1,3,-1,-1,0,White
3873,39,Female,United States of America,Nebraska,0,Yes,1,26-100,1,Yes,Yes,No,1,Yes,No,I don't know,Somewhat easy,Maybe,Maybe,-1,-1,1,I don't know,"No, I only became aware later",None did,None did,I don't know,Some of my previous supervisors,Yes,Very open,No,Yes,Yes,Yes,Rarely,Sometimes,United States of America,Nebraska,-1,-1,-1,-1,No,Physical health,0,-1,1,Explained I have generalized anxiety and clinical depression. Was a reaching out moment to encourage others. Well received.,1,"Suffer from Depression, let them know they aren’t alone and people care. ",5,5,-1,-1,0,Physical health,0,-1,0,-1,0,-1,10,3,0,-1,-1,6,-1,No,-1,3,Emphasize more on whole person health as an important goal for all. More posters or ads.,-1,0,White
3874,35,Male,United States of America,Wisconsin,1,Yes,1,-1,-1,-1,-1,No,-1,-1,-1,-1,-1,-1,-1,1,I know some,1,I don't know,N/A (was not aware),None did,None did,I don't know,Some of my previous supervisors,Maybe,Neutral,No,No,Possibly,-1,Rarely,Sometimes,United States of America,Wisconsin,Not applicable to me,Not applicable to me,Not applicable to me,-1,Maybe/Not sure,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,Not applicable to me,1,Same level of comfort for each,0,-1,0,-1,1,"I was told that my professional critique caused a burden to their condition.  While I respect this, and offered to do it a different way, they said I could provide no critique as it would affect them negatively.  That I couldn't abide with.",3,3,0,-1,-1,5,-1,No,-1,3,"Too many people use OCD and ADHD as jokes to describe their tendency or their laziness and lack of desire to pay attention. I know there are some people who have this, but the amount of people who jokingly profess they have it (without diagnosis) make it harder for people to admit they have these things in real life.  In addition, it's less of a direct tech issue than a masculine issue.  Transitive property: Tech is masculine, it's not masculine to admit you have issues, therefore, you don't admit it in tech.",-1,0,White
3875,49,-1,United Kingdom,-1,0,No,0,26-100,1,Yes,Yes,No,1,No,Yes,Yes,Very easy,Yes,Yes,-1,-1,1,"No, none did",N/A (none offered),None did,None did,I don't know,Some of my previous supervisors,Maybe,Neutral,No,Yes,No,-1,Never,Not applicable to me,United Kingdom,-1,-1,-1,-1,-1,No,Same level of comfort for each,0,-1,1,Had a text conversation on slack and they were very supportive,1,"They covered how they were currently feeling, the pressure they were under, and how it was affecting them",8,7,-1,-1,0,Physical health,0,-1,0,-1,0,-1,2,1,0,-1,-1,5,-1,No,-1,2,Provide support and educate from the top down ensuring line managers especially are supportive and educated,-1,0,-1
3876,45,Male,United Kingdom,-1,0,I don't know,1,6-25,1,I don't know,I don't know,Maybe,1,-1,No,I don't know,Somewhat easy,Maybe,Yes,-1,-1,1,"No, none did",N/A (was not aware),None did,None did,I don't know,Some of my previous supervisors,Maybe,Not open at all,Maybe,Don't Know,Possibly,-1,Sometimes,Sometimes,United Kingdom,-1,-1,-1,-1,-1,"Yes, I observed",Same level of comfort for each,0,-1,1,Stressed about a project that that as affecting me out of work,0,-1,8,8,-1,-1,1,Same level of comfort for each,1,-1,0,-1,0,-1,5,6,0,-1,-1,8,-1,Maybe/Not sure,-1,3,-1,-1,0,-1
